student_id,diagnostic_score,assignment_avg,quiz_avg,uts_score,learning_speed,visual_preference,audio_preference,interest,observation_note,cluster,cluster_name
S001,69.57075619631647,73.7585521829698,62.32756168940915,64.77911228145837,0.2111490301665612,0.2366623629975811,0.8575721441225576,Musik,Mampu bekerja mandiri,1,Needs Guidance
S002,49.40023840639257,78.20674693590102,87.48842446679097,52.50084746043864,0.3837248239990842,0.7460142802434464,0.4627993655935158,Musik,Perlu bimbingan,0,Steady Learner
S003,76.25676793709685,51.05697434187634,62.65604043407861,43.554438774139,0.3054577742292168,0.8165687634239104,0.3850894961003535,Game,Mampu bekerja mandiri,1,Needs Guidance
S004,79.1084707458682,65.84427418735508,79.0627335270063,60.19168927297337,0.742126938890286,0.1052780798541249,0.6395632712371101,Musik,Aktif berdiskusi,1,Needs Guidance
S005,35.734472170192454,63.88515549419366,53.995734799851846,66.2470442885435,0.2974660037028249,0.0665588569551781,0.266463317500846,Game,Cepat memahami konsep,0,Steady Learner
S006,45.46730739706523,61.69458797283656,64.91843663198554,91.75101879011837,0.6050639452965064,0.5944336637564518,0.1397684109539568,Game,Cepat memahami konsep,0,Steady Learner
S007,66.91760604750928,66.42315073405311,53.749669176341285,68.8238433006204,0.7554099485143093,0.1461732441926982,0.4778772740237458,Sains,Perlu contoh tambahan,1,Needs Guidance
S008,60.25636111484626,89.43423704604714,62.91450386149156,80.7583531543228,0.6648932873767219,0.8246641904563413,0.416889368594885,Game,Perlu bimbingan,2,Fast Learner
S009,64.74798263743567,58.74419549598784,80.60462206186094,60.00986162045187,0.3598205213280461,0.3103346739240744,0.2325699405288737,Musik,Perlu bimbingan,1,Needs Guidance
S010,52.2043410863963,82.58761860968926,42.09019365211477,50.410787270161656,0.8432996209458101,0.1438719329711426,0.367511810115128,Musik,Aktif berdiskusi,0,Steady Learner
S011,78.19096962294243,48.12269296899454,74.51635465318786,53.4883653287468,0.7723257036926414,0.9209704724874502,0.3663924498262474,Teknologi,Mampu bekerja mandiri,1,Needs Guidance
S012,76.66687903143422,65.64649461018493,71.56603403498417,56.846835096499454,0.7911872031324334,0.1655317227352781,0.3274955644125454,Musik,Perlu contoh tambahan,1,Needs Guidance
S013,65.99046046341824,72.11578984636508,59.08775066454808,96.7985762540923,0.3048462012458506,0.2847200823379355,0.3794640797269289,Olahraga,Perlu bimbingan,2,Fast Learner
S014,81.90861810452049,77.62089030767062,46.30913218417318,55.5005864908586,0.2990030429202757,0.1536133951920586,0.6857433454559454,Sains,Cepat memahami konsep,1,Needs Guidance
S015,72.01264013378068,79.24594553730711,69.08194261570804,78.73884885230883,0.9420500408052062,0.1154900636653549,0.2968764745712853,Sains,Mampu bekerja mandiri,2,Fast Learner
S016,52.11061305675143,80.31351405759902,60.05760936404296,54.35901950678163,0.5180625550599525,0.02114801633644,0.9488579267153404,Olahraga,Perlu bimbingan,0,Steady Learner
S017,70.53126176123749,65.46657406077031,71.49014317032056,80.04202218023941,0.4407589534247518,0.0553954091642601,0.916348019538178,Game,Cepat memahami konsep,2,Fast Learner
S018,50.616760987565016,63.98942669536063,68.32778218285165,72.38931352548208,0.5908672362812266,0.1746414709358527,0.4809104283000786,Olahraga,Cepat memahami konsep,0,Steady Learner
S019,78.17675451960909,81.153686456343,92.02668336981372,64.80706943278673,0.730291370210866,0.0533819326271753,0.3283612050046888,Game,Aktif berdiskusi,2,Fast Learner
S020,64.2511113352062,67.513043776539,64.40966558790464,66.42932463410392,0.964498605637576,0.5911438161109712,0.5354347898300031,Olahraga,Mampu bekerja mandiri,0,Steady Learner
S021,62.22706454682109,53.41607779660701,52.647537610672025,57.83297226398854,0.429156981505644,0.6807145267995064,0.8485604887736246,Musik,Perlu contoh tambahan,1,Needs Guidance
S022,54.78605683394088,55.26726621795476,70.68913452434474,73.24501082074913,0.9398467434496218,0.3936304568320282,0.652587340560102,Game,Cepat memahami konsep,0,Steady Learner
S023,83.33812008011046,58.047120281979055,71.29995025957648,60.63023127522908,0.219887593109005,0.3179910969520494,0.8043918279470774,Game,Cepat memahami konsep,1,Needs Guidance
S024,62.682057768967965,76.46308967269893,88.38781362860655,49.84151930725852,0.6441584338614598,0.5045262370222301,0.5327222760657402,Musik,Perlu bimbingan,0,Steady Learner
S025,58.57508266755339,71.85153456891734,80.52666868871867,49.108873959525326,0.7071800893448681,0.8750049422346086,0.6329176292676207,Sains,Mampu bekerja mandiri,0,Steady Learner
S026,59.71799674267656,78.97630960288099,73.35306588724264,69.41623084810968,0.2847179230006026,0.851131626822206,0.2881556141824617,Game,Mampu bekerja mandiri,0,Steady Learner
S027,72.98463778330023,64.44571559762505,89.94954336829343,89.10727758974609,0.3122716776511301,0.0434750620127919,0.7348931623102908,Teknologi,Aktif berdiskusi,2,Fast Learner
S028,70.48166096546117,72.06101598399728,50.168554185157234,69.23988259002813,0.535291455453043,0.181498409596524,0.2024045931257183,Game,Aktif berdiskusi,1,Needs Guidance
S029,71.19098917393983,78.13267512157537,58.40372700875378,65.33906343446165,0.9729855297145452,0.236744871104396,0.6947981288184982,Game,Mampu bekerja mandiri,2,Fast Learner
S030,71.46231504511825,65.9784949836369,54.10136087891713,71.0015659544356,0.6768340425874984,0.2493875758322118,0.8607190683258941,Teknologi,Perlu bimbingan,1,Needs Guidance
S031,97.12471401305692,75.93807808824634,62.15285295266348,85.28402438389554,0.946418577280169,0.5712326517427727,0.1321028373015439,Game,Aktif berdiskusi,2,Fast Learner
S032,58.90377475423077,61.39496276613353,47.34970778665537,70.07135501909399,0.8434887324903766,0.4162624257031923,0.6143797405419198,Sains,Mampu bekerja mandiri,1,Needs Guidance
S033,57.31635906392694,65.28029999465407,77.52726420221606,61.24701876832768,0.5739052812442332,0.0492541199275939,0.0950957482299346,Sains,Mampu bekerja mandiri,0,Steady Learner
S034,52.79340907628183,65.03740737802173,64.66665954351839,82.48804194083844,0.8278107594017501,0.3736141384595716,0.7257156282714269,Game,Aktif berdiskusi,0,Steady Learner
S035,74.23969133863244,54.45408460734248,45.93790558246013,73.0025901384626,0.2142694271815902,0.5237529487176372,0.0844932188235202,Game,Perlu bimbingan,1,Needs Guidance
S036,81.93458439081337,76.33064225021256,52.76631378188688,88.50058388794389,0.287315197412588,0.1016719029037159,0.935939822700626,Teknologi,Cepat memahami konsep,2,Fast Learner
S037,63.29078813517688,63.89776957736459,72.70270771175294,69.56528212110669,0.8635428919061892,0.8334585537885597,0.1374079300378021,Game,Aktif berdiskusi,0,Steady Learner
S038,52.39765284556208,70.16242354345994,80.57189851841572,49.857433555913,0.8374536706601294,0.0519618664651042,0.9588802459090804,Teknologi,Perlu contoh tambahan,0,Steady Learner
S039,52.6327817646314,76.24970656577682,97.9509633753768,47.84577121056069,0.386112593573147,0.924841869018062,0.8008841760850967,Musik,Cepat memahami konsep,0,Steady Learner
S040,74.75889181737051,75.80490528838928,100.0,90.11299105123749,0.6246156724792429,0.0991131415798755,0.5936820044663541,Teknologi,Aktif berdiskusi,2,Fast Learner
S041,76.14881256805164,78.65000641664622,74.21614149913995,91.13132009096616,0.6848126565600088,0.8435749515977528,0.7826241046295469,Teknologi,Perlu contoh tambahan,2,Fast Learner
S042,73.14731402457792,68.71968870137749,53.15692819952204,64.48673101404358,0.894191163020809,0.9026531439276172,0.7951148389830859,Olahraga,Aktif berdiskusi,1,Needs Guidance
S043,55.01735439066958,64.497121943426,36.01930578903036,61.63537750409617,0.6824857258709806,0.9795706805865928,0.9460270628173304,Sains,Mampu bekerja mandiri,1,Needs Guidance
S044,68.4824198460008,68.96366325821681,72.01567193515754,87.46022009139082,0.5300572554189442,0.8020258802735936,0.2533833538391872,Olahraga,Perlu contoh tambahan,2,Fast Learner
S045,66.75028713711092,48.064652358545615,55.80588357034511,51.501360451391164,0.4993472347257461,0.7794775407713289,0.5900758953583092,Olahraga,Aktif berdiskusi,1,Needs Guidance
S046,68.2803289509352,51.187537858499866,61.76964109730472,54.47382173461843,0.5407056690988079,0.6424832759955477,0.0950491975644012,Sains,Cepat memahami konsep,1,Needs Guidance
S047,78.07143166922285,52.80490503939277,58.81854801410288,76.00657512564662,0.7215448204639794,0.778996354578129,0.6161657000241213,Musik,Perlu bimbingan,1,Needs Guidance
S048,68.35393323162023,57.03579124118074,65.88813670375423,61.475528279965744,0.89399250540186,0.134552208413147,0.1712913040927888,Musik,Perlu bimbingan,1,Needs Guidance
S049,75.18370344607843,75.19706494740467,83.98970346181466,66.928293865919,0.5631175056610398,0.5360680359476373,0.5649506114724419,Game,Aktif berdiskusi,2,Fast Learner
S050,66.01368604233338,58.228772280319205,70.35572851168017,64.71179942065683,0.3982716503610865,0.5142228701904145,0.5724305140338497,Teknologi,Mampu bekerja mandiri,1,Needs Guidance
