student_id,diagnostic_score,assignment_avg,quiz_avg,uts_score,learning_speed,visual_preference,audio_preference,interest,observation_note
S001,69.57075619631647,73.7585521829698,62.32756168940915,64.77911228145837,0.21114903016656125,0.23666236299758114,0.8575721441225576,Musik,Mampu bekerja mandiri
S002,49.40023840639257,78.20674693590102,87.48842446679097,52.500847460438635,0.38372482399908425,0.7460142802434464,0.46279936559351587,Musik,Perlu bimbingan
S003,76.25676793709685,51.05697434187634,62.65604043407861,43.554438774139,0.3054577742292168,0.8165687634239104,0.3850894961003535,Game,Mampu bekerja mandiri
S004,79.1084707458682,65.84427418735508,79.0627335270063,60.19168927297337,0.742126938890286,0.10527807985412496,0.6395632712371101,Musik,Aktif berdiskusi
S005,35.734472170192454,63.88515549419366,53.995734799851846,66.2470442885435,0.29746600370282494,0.06655885695517816,0.26646331750084606,Game,Cepat memahami konsep
S006,45.46730739706523,61.69458797283656,64.91843663198554,91.75101879011837,0.6050639452965064,0.5944336637564518,0.13976841095395687,Game,Cepat memahami konsep
S007,66.91760604750928,66.42315073405311,53.749669176341285,68.8238433006204,0.7554099485143093,0.14617324419269828,0.4778772740237458,Sains,Perlu contoh tambahan
S008,60.256361114846264,89.43423704604714,62.91450386149156,80.7583531543228,0.6648932873767219,0.8246641904563413,0.416889368594885,Game,Perlu bimbingan
S009,64.74798263743567,58.74419549598784,80.60462206186094,60.00986162045187,0.3598205213280461,0.31033467392407443,0.2325699405288737,Musik,Perlu bimbingan
S010,52.2043410863963,82.58761860968926,42.09019365211477,50.410787270161656,0.8432996209458101,0.14387193297114265,0.367511810115128,Musik,Aktif berdiskusi
S011,78.19096962294243,48.12269296899454,74.51635465318786,53.488365328746795,0.7723257036926414,0.9209704724874502,0.3663924498262474,Teknologi,Mampu bekerja mandiri
S012,76.66687903143422,65.64649461018493,71.56603403498417,56.846835096499454,0.7911872031324334,0.16553172273527816,0.32749556441254546,Musik,Perlu contoh tambahan
S013,65.99046046341824,72.11578984636508,59.08775066454808,96.7985762540923,0.3048462012458506,0.28472008233793555,0.37946407972692897,Olahraga,Perlu bimbingan
S014,81.90861810452049,77.62089030767062,46.30913218417318,55.500586490858595,0.2990030429202757,0.15361339519205863,0.6857433454559454,Sains,Cepat memahami konsep
S015,72.01264013378068,79.24594553730711,69.08194261570804,78.73884885230883,0.9420500408052062,0.11549006366535497,0.2968764745712853,Sains,Mampu bekerja mandiri
S016,52.110613056751426,80.31351405759902,60.05760936404296,54.35901950678163,0.5180625550599525,0.021148016336440034,0.9488579267153404,Olahraga,Perlu bimbingan
S017,70.53126176123749,65.46657406077031,71.49014317032056,80.04202218023941,0.4407589534247518,0.05539540916426011,0.9163480195381779,Game,Cepat memahami konsep
S018,50.616760987565016,63.98942669536063,68.32778218285165,72.38931352548208,0.5908672362812266,0.1746414709358527,0.4809104283000786,Olahraga,Cepat memahami konsep
